,index,primary_diagnosis_desc
8746,"Other specified rheumatoid arthritis,right knee",5
8747,GLAUCOMA NOS,5
8748,"Contus/lac cereb,w LOC of unsp duration,init",5
8749,URINARY TRACT DIS NOS,5
8750,Disruption of cesarean delivery wound,5
8751,GI INJURY NEC-CLOSED,5
8752,Vascular disorders of male genital organs,5
8753,"Laceration w/o fb of right cheek and TMJ area,ini",5
8754,"Meniere's disease,bilateral",5
8755,NARCOLEPSY W/ CATAPLEXY,5
8756,Malignant neoplasm of external lower lip,5
8757,Malignant neoplasm of laryngeal cartilage,5
8758,STERILIZATION,5
8759,MOTOR NEURON DISEASE NEC,5
8760,Nondisp suprcndl fx w/o intrcndl extn lower end r ,5
8761,"Multiple fractures of ribs,bi,subs for fx w rout",5
8762,Oth aplastic anemias and other bone marrow failure,5
8763,Unsp nephritic syndrome with other morphologic cha,5
8764,COAL WORKERS' PNEUMOCON,5
8765,"Oth nondisplaced dens fracture,init for clos fx",5
8766,Other congenital malformations of pharynx,5
8767,Central pontine myelinolysis,5
8768,COMMON TRUNCUS,5
8769,Oth abnormal findings on diagnostic imaging of cns,5
8770,Monoclonal gammopathy,5
8771,"Oth osteopor w current path fracture,right femur,",5
8772,"Other infective otitis externa,left ear",5
8773,RHEUM FEV W/O HRT INVOLV,5
8774,"Nondisp posterior arch fx first cervcal vertebra,",5
8775,Malignant neoplasm of labium majus,5
8776,Cellulitis of umbilicus,5
8777,"Other idiopathic scoliosis,thoracic region",5
8778,Other hyperparathyroidism,5
8779,CAT-SCRATCH DISEASE,5
8780,"Alcohol use,unspecified with alcohol-induced mood",5
8781,CARDIOVAS SYS SYMP NEC,5
8782,CARDIOMEGALY,5
8783,BIPOL I-REC MANC PRT REM,5
8784,CL SKULL FX NEC-COMA NOS,5
8785,"Unsp focal TBI w LOC of unsp duration,init",5
8786,STEMI involving left main coronary artery,5
8787,Oth intraoperative complications of respiratory sy,5
8788,"Nondisp fx of second metatarsal bone,left foot,i",5
8789,CARBUNCLE NOS,5
8790,CL SKULL VLT FX-LOC NOS,5
8791,MUCOSITIS D/T OTH DRUGS,5
8792,"Unsp fracture of left femur,init encntr for close",5
8793,Other dermatopolymyositis with respiratory involve,5
8794,Bursitis of left shoulder,5
8795,"Other injury of bladder,initial encounter",5
8796,Nonrheumatic pulmonary valve stenosis,5
8797,CYSTIC FIBROSIS W/ OTHER,5
8798,"Meniere's disease,left ear",5
8799,Breakdown (mechanical) of urinary sphincter implan,5
8800,OLD DISRUPT ANT CRUCIATE,5
8801,CONG VARUS FOOT DEF NEC,5
8802,"Breakdown (mechanical) of permanent sutures,init ",5
8803,Melanoma in situ of other parts of face,5
8804,"Unsp fracture of lower end of left ulna,init for ",5
8805,Opioid dependence with unspecified opioid-induced ,5
8806,Cereb infrc due to unsp occls or stenosis of bi ce,5
8807,"Unsp dislocation of left acromioclavicular joint,",5
8808,CONGENITAL ANOMALY NOS,5
8809,"Anorexia nervosa,binge eating/purging type",5
8810,Malignant neoplasm of ovrlp sites of conn and soft,5
8811,OPEN WOUND CHEST-COMPL,5
8812,Opioid abuse with opioid-induced psychotic disorde,5
8813,Other complicated headache syndrome,5
8814,OIL/ESSENCE PNEUMONITIS,5
8815,"Oth tear of lat mensc,current injury,right knee,",5
8816,Nonrheumatic pulmonary valve stenosis with insuffi,5
8817,RECTUM INJURY-OPEN,5
8818,"Minor laceration of liver,initial encounter",5
8819,"Calcific tendinitis,other site",5
8820,"Minimally displaced Zone I fracture of sacrum,ini",5
8821,BLACK EYE NOS,5
8822,Oth psychoactive substance dependence with withdra,5
8823,MILD DYSPLASIA OF CERVIX,5
8824,Other injury of unspecified body region,5
8825,Ntrm subarach hemor from left anterior communicati,5
8826,"Unspecified open wound of right buttock,initial e",5
8827,Ntrm subarach hemor from unsp anterior communicati,5
8828,Athscl autologous artery CABG w oth angina pectori,5
8829,Oth speech/lang deficits following cerebral infarc,5
8830,CONG DEF CLOT FACTOR NEC,5
8831,"Athscl autol vein bypass of the extrm w gangrene,",5
8832,Methicillin suscep staph infct causing dis classd ,5
8833,BLISTER FOOT & TOE-INFEC,5
8834,CL SKULL FX NEC-BRF COMA,5
8835,"Oth intartic fx lower end r radius,init for opn f",5
8836,Mech compl of other urinary stent initial encounte,5
8837,"Nondisp fx of greater tuberosity of left humerus,",5
8838,NODULAR LYMPHOMA HEAD,5
8839,"Oth fracture of T5-T6 vertebra,init for clos fx",5
8840,BENIGN NEO SKIN TRUNK,5
8841,Cannabis abuse with psychotic disorder with halluc,5
8842,NO SUSP MAT/FET COND FND,5
8843,Carcinoid syndrome,5
8844,CHRONIC ADENOIDITIS,5
8845,"Unsp fx shaft of humerus,left arm,subs for fx w ",5
8846,BENIGN NEO UTERUS NOS,5
8847,"Unspecified dislocation of right knee,initial enc",5
8848,Anaphylactic reaction due to milk and dairy produc,5
8849,"Oth foreign object in bronchus causing oth injury,",5
8850,BEN HYP HRT/KD CKD 1-4,5
8851,S/P CVA HEMPLG NOND SIDE,5
8852,NERVOUS SYSTEM ANOM NOS,5
8853,Other forms of nocardiosis,5
8854,"Unsp fx the low end left rad,subs for clos fx w r",5
8855,S/P CVA WITH VERTIGO,5
8856,BEN NEO SOFT TISSUE ARM,5
8857,BENIGN NEO PELVIC GIRDLE,5
8858,Neoplasm of uncertain behavior of cerebral meninge,5
8859,CHR OSTEOMYELIT-UP/ARM,5
8860,"Oth fracture of shaft of left femur,init for clos",5
8861,Malignant carcinoid tumor of the jejunum,5
8862,"Unspecified dislocation of left hip,initial encou",5
8863,Unspecified diabetes mellitus in childbirth,5
8864,Neoplasm of uncertain behavior of appendix,5
8865,BENIGN NEO CERVIX UTERI,5
8866,NONSP ABN FD-SKULL/HEAD,5
8867,CHR T & A DIS NEC,5
8868,Qualitative platelet defects,5
8869,"Neoplasm of uncertain behavior of liver,GB & bile",5
8870,"Oth fracture of left patella,init for clos fx",5
8871,"Oth fracture of shaft of right tibia,init for clo",5
8872,SPRAIN OF FOOT NOS,5
8873,CHR STOM ULC W HEM-OBSTR,5
8874,"Oth fracture of fourth lumbar vertebra,init for c",5
8875,NERV ROOT/PLEXUS DIS NEC,5
8876,CHRONIC NEPHRITIS NEC,5
8877,CHRONIC PAIN D/T TRAUMA,5
8878,"Nondisp fx of anterior wall of right acetabulum,i",5
8879,"Unsp fx upper end of r humerus,subs for fx w rout",5
8880,Other hallucinations,5
8881,NARCOLEPSY W/O CATAPLEXY,5
8882,BICIPITAL TENOSYNOVITIS,5
8883,Oth congenital malformations of pancreas and pancr,5
8884,CEREBRAL PALSY NEC,5
8885,CEREBRAL HEM AT BIRTH,5
8886,Malignant neoplasm of dorsal surface of tongue,5
8887,MYCOBACTERIAL DIS NEC,5
8888,"Anaplstc lg cell lymph,ALK-neg,extrnod and solid",5
8889,Malignant neoplasm of endocrine pancreas,5
8890,"Oth congenital malformation syndromes,NEC",5
8891,"Oth congenital malform of spine,not associated w ",5
8892,"Nondisp fx of fifth metatarsal bone,left foot,in",5
8893,BILAT CLEFT LIP-INCOMPL,5
8894,"Oth intartic fx lower end left rad,init for opn f",5
8895,CL SKL W OTH FX-LOC NOS,5
8896,CL SKL FX NEC/MENING HEM,5
8897,Unspecified conjunctivitis,5
8898,Non-pressure chronic ulcer of left calf w necrosis,5
8899,"Major contusion of left kidney,initial encounter",5
8900,MYOTONIC MUSC DYSTROPHY,5
8901,"Oth disp fx of upper end of r humer,subs for fx w",5
8902,Non-ketotic hyperglycinemia,5
8903,Non-neuropathic heredofamilial amyloidosis,5
8904,NEONATAL TACHYCARDIA,5
8905,NEONATAL INFEC MASTITIS,5
8906,"Oth disp fx of lower end of right humerus,init fo",5
8907,Non-prs chronic ulcer oth prt l low leg w fat laye,5
8908,BARIATRIC SGY COMP DELIV,5
8909,CIRCUMSCRIBE SCLERODERMA,5
8910,"Unsp fx upper end of r humerus,subs for fx w malu",5
8911,Non-prs chr ulcer oth prt l low leg limited to brk,5
8912,CH EMBLSM VEINS NEC,5
8913,CH EMBL INTERNL JUG VEIN,5
8914,Malignant neoplasm of conn and soft tissue of trun,5
8915,OPEN WOUND ELBOW-COMPLIC,5
8916,Alcohol dependence w alcoh-induce psychotic disord,5
8917,"Mech compl of oth bone devices,implants and graft",5
8918,ORAL SOFT TISSUE CYST,5
8919,Occlusion and stenosis of left posterior cerebral ,5
8920,OTH ABN PROD CONCEPTION  F,5
8921,"Maternal care for anti-D antibodies,third trimest",5
8922,SPASM SPHINCTER OF ODDI,5
8923,OSTIUM PRIMUM DEFECT,5
8924,MALIGNANT NEO PALATE NOS,5
8925,"Ocular lac w/o prolaps/loss of intraoc tissue,l e",5
8926,RENAL AGENESIS,5
8927,"Adverse effect of benzodiazepines,initial encount",5
8928,Benign neoplasm of right bronchus and lung,5
8929,"Maternal care for hydrops fetalis,third trimester",5
8930,Adverse effect of cephalospor/oth beta-lactm antib,5
8931,"Adverse effect of drug/meds/biol subst,init",5
8932,ORBITAL DISORDERS NEC,5
8933,OPN WOUND WRIST W TENDON,5
8934,Adverse effect of nonsteroidal anti-inflammatory d,5
8935,MALOCCLUSION NOS,5
8936,Benign neoplasm of uterine tubes and ligaments,5
8937,"Arthritis due to other bacteria,left hand",5
8938,Cerebral infrc due to embolism of unsp post cerebr,5
8939,OPN WND TONGUE/MOUTH FLR,5
8940,OPN WND LATERAL ABDOMEN,5
8941,BREECH EXTR NOS-DELIVER,5
8942,"Other chronic osteomyelitis,multiple sites",5
8943,SPIN BIF W HYDROCEPH NOS,5
8944,MANTLE CEL LYMPH HD/NCK,5
8945,"Other chronic osteomyelitis,right hand",5
8946,CONTUSION OF ANKLE,5
8947,Cerebral infrc due to embolism of bi post cerebral,5
8948,"Other kyphosis,cervical region",5
8949,"Unspecified injury of face,initial encounter",5
8950,COR TRIATRIATUM,5
8951,Other chronic diseases of tonsils and adenoids,5
8952,Unsp symptoms and signs w cogn fnctns fol cerebral,5
8953,Cerv disc disord with myelpath mid-cervical rgn un,5
8954,"Cerebrovascular disease,unspecified",5
8955,MALIG NEO UPPER GUM,5
8956,"Ben neoplm of prph nrv & autonm nrv sys,upr lmb,",5
8957,Malignant neoplasm of unspecified main bronchus,5
8958,"Other chondrocalcinosis,left ankle and foot",5
8959,Other cholelithiasis without obstruction,5
8960,MALIG NEOPL BONE NOS,5
8961,Basal cell carcinoma of skin of other part of trun,5
8962,CRUSHING INJ TRUNK NEC,5
8963,"Other chondrocalcinosis,right ankle and foot",5
8964,OTHR SICKLE-CEL W/O CRIS,5
8965,"Other myeloid leukemia,in remission",5
8966,RUPTURE PATELLAR TENDON,5
8967,Balanitis,5
8968,Other myelitis,5
8969,"Recurrent dislocation,left hip",5
8970,CORNS AND CALLOSITIES,5
8971,"Benign lipomatous neoplasm of skin,subcu of trunk",5
8972,"Recurrent dislocation,right hip",5
8973,Obstructed labor due to abnlt of maternal pelvic o,5
8974,SURGICAL COMPLICAT NOS,5
8975,BURSITIS NEC,5
8976,CRUSHING INJURY TOE,5
8977,"Mantle cell lymphoma,lymph nodes of head,face,a",5
8978,CORNEAL ULCER NOS,5
8979,"Other bursitis of hip,right hip",5
8980,"Puncture wound with foreign body,right foot,init",5
8981,"Reiter's disease,right knee",5
8982,SPINA BIFIDA-LUMBAR,5
8983,SUPRACONDYL FX FEMUR-OPN,5
8984,"Unsp fracture of sacrum,subs for fx w routn heal",5
8985,Mech compl of implnt elec nstim generator init,5
8986,"Mech compl of intraperitoneal dialysis catheter,i",5
8987,BRAIN HEM NEC-DEEP COMA,5
8988,SHIGELLA INFECTION NEC,5
8989,SHIGELLOSIS NOS,5
8990,Open bite of right middle finger w/o damage to nai,5
8991,MEDULLARY SPONGE KIDNEY,5
8992,Open bite of right index finger w/o damage to nail,5
8993,MECH COMP GU DEV/GRF NOS,5
8994,CONTRACT PELV NOS-DELIV,5
8995,CYCLIC NEUTROPENIA,5
8996,Biventricular heart failure,5
8997,"Antepartum hemorrhage,unspecified,unspecified tr",5
8998,Malignant neoplasm of pineal gland,5
8999,"Malignant melanoma of left lower limb,including h",5
9000,"Other acute nonsuppurative otitis media,right ear",5
9001,"Primary osteoarthritis,left wrist",4
9002,URETER INJURY-CLOSED,4
9003,NEONATAL THROMBOCYTOPEN,4
9004,RENAL DYSPLASIA,4
9005,Presence of right artificial hip joint,4
9006,Indeterminate colitis,4
9007,BASAL CELL CA SKN UP LMB,4
9008,"Mediastnl large B-cell lymph,extrnod and solid or",4
9009,POST DISLOC ELBOW-CLOSED,4
9010,Other transplanted tissue infection,4
9011,POST TRAUMATIC SEIZURES,4
9012,"Infantile idiopathic scoliosis,thoracic region",4
9013,"Miliary tuberculosis,unspecified",4
9014,Human immunodeficiency virus disease complicating ,4
9015,POSTABORTION COMPL NEC,4
9016,"Diseases of the skin,subcu comp pregnancy,third ",4
9017,Traum subrac hem w LOC >24 hr w/o ret consc w surv,4
9018,"Homonymous bilateral field defects,right side",4
9019,Spastic hemiplegia affecting right dominant side,4
9020,VOCAL PARAL UNILAT TOTAL,4
9021,URETERAL FISTULA,4
9022,ATONY OF BLADDER,4
9023,POSTCHOLECYSTECTOMY SYND,4
9024,"Malocclusion,unspecified",4
9025,BEN HTN HRT/KD CKD ESRD,4
9026,NEURALGIC AMYOTROPHY,4
9027,Other cervical disc degeneration at C4-C5 level,4
9028,VASCUL COMP MESENTERIC,4
9029,"Subacute osteomyelitis,right ankle and foot",4
9030,DIASTASIS OF MUSCLE,4
9031,"Herpesviral infection of urogenital system,unspec",4
9032,ANTER AMI NEC-EPISOD NOS,4
9033,"Other bursitis of knee,right knee",4
9034,"Pressure ulcer of left buttock,unstageable",4
9035,Incompetence of cervix uteri,4
9036,"Diffuse otitis externa,left ear",4
9037,"Infection oth prt genitl trct in pregnancy,third ",4
9038,"Traumatic arthropathy,left ankle and foot",4
9039,Matern care for disproprtn d/t deformity of matern,4
9040,NB HEMOLYT DIS-ISOIM NEC,4
9041,"Unsp fracture of right calcaneus,subs for fx w ro",4
9042,Discoid lupus erythematosus,4
9043,"Oth types of non-Hodgkin lymphoma,unspecified sit",4
9044,"Unsp fracture of right acetabulum,subs for fx w r",4
9045,Unspecified disorder of adult personality and beha,4
9046,CL SK BASE FX/BR INJ NEC,4
9047,BARBITURATE ABUSE-UNSPEC,4
9048,"Strain of unsp musc/tend at lower leg level,right",4
9049,"Disease of esophagus,unspecified",4
9050,CORNEAL GRFT MALFUNCTION,4
9051,Infection of other stoma of urinary tract,4
9052,"Preterm labor without delivery,unspecified trimes",4
9053,Intrinsic sphincter deficiency (ISD),4
9054,"Intvrt disc disorders w myelopathy,thoracolumbar ",4
9055,Hypertension secondary to endocrine disorders,4
9056,AORTIC ANEURYSM NOS,4
9057,Hyperplasia of appendix,4
9058,CHRONIC PROSTATITIS,4
9059,POLYOSTOTIC FIBROS DYSPL,4
9060,RET PROD CONC-DEL W P/P,4
9061,"Hyperaldosteronism,unspecified",4
9062,DIS BILIRUBIN EXCRETION,4
9063,Incomplete spontaneous abortion with other complic,4
9064,POLYURIA,4
9065,Mech compl of internal fixation device of oth bone,4
9066,CHRONIC LIVER DIS NOS,4
9067,Abscess of right upper eyelid,4
9068,Atheroembolism of bilateral lower extremities,4
9069,PATHOL DISLOCAT-PELVIS,4
9070,JOINT EFFUSION-UP/ARM,4
9071,SCHIZOAFFEC-SUBCHR/EXAC,4
9072,Aortic arch syndrome [Takayasu],4
9073,SENILE PSYCHOT COND NOS,4
9074,"Oth fracture of shaft of right humerus,init for c",4
9075,CONGENITAL PNEUMONIA,4
9076,PELVIC CONGESTION SYND,4
9077,NONSP ABN FIND-BODY NEC,4
9078,"Disp fx of first metatarsal bone,left foot,init",4
9079,"Disp fx of first metatarsal bone,right foot,init",4
9080,DERANG POST LAT MENISCUS,4
9081,"Unsp fracture of shaft of left ulna,init for clos",4
9082,NONSP ABN FIND-GI TRACT,4
9083,"Absence epileptic syndrome,intractable,w stat ep",4
9084,PRECIP DROP HEMATOCRIT,4
9085,POSTERIOR DISLOC HIP-CL,4
9086,"Prem ROM,onset labor w/n 24 hr of rupt,unsp week",4
9087,"Heat exhaustion,anhydrotic,initial encounter",4
9088,"Oth fracture of shaft of right femur,init for clo",4
9089,CHR POSTTHORACOTOMY PAIN,4
9090,DIABETES COMA NEC TYPE I,4
9091,SCARLET FEVER,4
9092,"Oth fracture of shaft of left fibula,init for clo",4
9093,"Aortic aneurysm of unspecified site,without ruptu",4
9094,NONTRAUM TENDON RUPT NEC,4
9095,CRITICAL ILL POLYNEUROPA,4
9096,"Hallucinogen use,unsp w psychotic disorder,unsp",4
9097,VARICELLA PNEUMONITIS,4
9098,"Disp fx of greater trochanter of r femr,7thD",4
9099,CHR POST-TRAUMA HEADACHE,4
9100,"Athscl native arteries of extrm w rest pain,unsp ",4
9101,Corpus luteum cyst of right ovary,4
9102,"Hemiplegia,unspecified affecting right nondominan",4
9103,"Hemiplegic migraine,intractable,without status m",4
9104,"Other synovitis and tenosynovitis,right lower leg",4
9105,CHRONIC FATIGUE SYNDROME,4
9106,"Unspecified dislocation of left patella,initial e",4
9107,NO FAMILY ABLE TO CARE,4
9108,Subacute thyroiditis,4
9109,NO MED FACILITIES NEC,4
9110,Disorders of glossopharyngeal nerve,4
9111,"Malignant otitis externa,left ear",4
9112,CHR VENOUS HYPERTENSION,4
9113,VENOUS COMPL NEC-ANTEPAR,4
9114,Disorders of multiple cranial nerves,4
9115,Subcorneal pustular dermatitis,4
9116,Aphasia following nontraumatic intracerebral hemor,4
9117,"Asphyx d/t mech threat to breathe d/t oth cause,a",4
9118,"Other cervical disc degeneration,mid-cervical reg",4
9119,"Other synovitis and tenosynovitis,left ankle and ",4
9120,CHR VENOUS HTN-ULC&INFL,4
9121,PELVIC HEMATOMA-POSTPART,4
9122,Infect/inflm reaction due to int fix of left fibul,4
9123,NODULAR LYMPHOMA INGUIN,4
9124,"Disp fx of anterior column of left acetabulum,ini",4
9125,CONGENITAL HIATUS HERNIA,4
9126,"Unspecified injury of head,subsequent encounter",4
9127,JOINT EFFUSION-FOREARM,4
9128,"Disp fx of body of scapula,right shoulder,init f",4
9129,SCHIZOPHRENIA NEC-CHR,4
9130,Other symptoms and signs involving appearance and ,4
9131,NONINFLAM DIS CERVIX NEC,4
9132,Hemiplga fol oth cerebvasc disease aff left nondom,4
9133,POISONING-PENICILLINS,4
9134,Intraop hemor/hemtom of circ sys org comp oth circ,4
9135,"Unsp fracture of shaft of r radius,init for opn f",4
9136,PARALYSIS NOS,4
9137,"Monteggia's fracture of left ulna,init for opn fx",4
9138,ASBESTOSIS,4
9139,DYSPHAGIA ORAL PHASE,4
9140,SECONDARY SYPH SKIN,4
9141,"Abnormal finding of blood chemistry,unspecified",4
9142,DISLOC MULT CERV VERT-CL,4
9143,SECONDARY POLYCYTHEMIA,4
9144,"Pressure ulcer of right ankle,stage 3",4
9145,INFER DISLOC HUMERUS-CL,4
9146,INFER AMI NEC-EPISOD NOS,4
9147,DISLOC METACARPOPHALN-CL,4
9148,Influenza due to unidentified influenza virus w GI,4
9149,"Mult fx of pelv w stable disrupt of pelv ring,7th",4
9150,"Mult fx of pelv w/o disrupt of pelv ring,7thD",4
9151,"Decreased white blood cell count,unspecified",4
9152,DERMATOPHYTOSIS OF GROIN,4
9153,VISUAL FIELD DEFECT NOS,4
9154,"Oth nondisp fx of second cervical vertebra,init f",4
9155,RESP COND: EXT AGENT NEC,4
9156,CLOSED SKULL VAULT FX,4
9157,PARVOVIRUS B19,4
9158,"Oth nondisp fx of first cervical vertebra,init fo",4
9159,"Abrasion of abdominal wall,initial encounter",4
9160,VISUAL LOSS NOS,4
9161,"Multiple fx of ribs,right side,subs for fx w rou",4
9162,"Attn-defct hyperactivity disorder,predom hyperact",4
9163,CONTUSION OF EYE NOS,4
9164,RESP BRNCIO INTERST LUNG,4
9165,Proc/trtmt not crd out d/t pt lv bef seen by hlth ,4
9166,"Traumatic rupture of symphysis pubis,initial enco",4
9167,Trichomonal vulvovaginitis,4
9168,Monoplegia of upper limb affecting right dominant ,4
9169,Athscl autologous artery CABG w unsp angina pector,4
9170,SICKLE-CELL/HB-C W/O CRI,4
9171,PERSN W FEARED COMPLAINT,4
9172,"Preterm newborn,gestational age 33 completed week",4
9173,Abnormal findings on diagnostic imaging of prt ms ,4
9174,"Unsp fracture of shaft of right radius,init for c",4
9175,Mech compl of implanted electronic neurostim of br,4
9176,DISRUPT C-SECT-POSTPART,4
9177,Type 1 diabetes mellitus with diabetic polyneuropa,4
9178,"Inflammatory polyneuropathy,unspecified",4
9179,Athscl native cor art of transplanted heart w/o an,4
9180,"Unspecified diabetes mellitus in pregnancy,second",4
9181,Idiopathic acute pancreatitis with infected necros,4
9182,CONCUSSION 31-59 MIN LOC,4
9183,PERSONALITY DISORDER NOS,4
9184,"Unsp fracture of shaft of right ulna,init for clo",4
9185,"Primary osteoarthritis,unspecified shoulder",4
9186,"Staphylococcal arthritis,left elbow",4
9187,VIRAL HEPAT NEC-NO COMA,4
9188,"Twin pregnancy,dichorionic/diamniotic,second tri",4
9189,INSECT BITE HIP & LEG,4
9190,PARANOID PERSONALITY,4
9191,Tuberous sclerosis,4
9192,INSECT BITE FINGER-INFEC,4
9193,INJURY ULNAR VESSELS,4
9194,INJURY POPLITEAL VEIN,4
9195,Abnormal findings on dx imaging of prt digestive t,4
9196,INJURY BRACHIAL VESSELS,4
9197,VISUAL DISTORTIONS NEC,4
9198,"Triplet preg w two or more monochorionic fetuses,",4
9199,"Mononeuropathy,unspecified",4
9200,POIS-TOPIC/INFILT ANESTH,4
9201,DISL INTERPHALN HAND-OPN,4
9202,"Idiopathic gout,left hand",4
9203,PERFORATED CORNEAL ULCER,4
9204,SIRS W AC ORGAN DYSFNC,4
9205,"Myelitis,unspecified",4
9206,"Immersion foot,left foot,initial encounter",4
9207,"Strain of musc/tend at lower leg level,left leg,",4
9208,Oth symptoms and signs involving the dgstv sys and,4
9209,"Intcran inj w LOC of 30 minutes or less,init",4
9210,I/I react d/t other urinary catheter subsequent en,4
9211,UNIL CLEFT PALAT/LIP-COM,4
9212,PERSIST FETAL CIRCULATN,4
9213,SEC NEUROEND TU DIST LYM,4
9214,"Atherosclerosis of CABG,unsp,w oth angina pector",4
9215,CL SKULL BASE FX-CONCUSS,4
9216,"Other acute nonsuppurative otitis media,left ear",4
9217,"Unspecified inflammatory spondylopathy,lumbar reg",4
9218,DENTOFACIAL ANOMALY NOS,4
9219,Projectile vomiting,4
9220,Other viral meningitis,4
9221,POISONING-ANTIASTHMATICS,4
9222,Other bacterial meningitis,4
9223,ARTHROPATHY NEC-ANKLE,4
9224,VENOUS THROMBOSIS NOS,4
9225,CONGENITAL URETEROCELE,4
9226,DERANG LAT MENISCUS NOS,4
9227,"Spinal stenosis,cervicothoracic region",4
9228,"Crushing injury of right hand,initial encounter",4
9229,Hypothyroidism due to meds and oth exogenous subst,4
9230,Matern care for disproprtn d/t generally contracte,4
9231,Intraop hemor/hemtom of a resp sys org comp resp s,4
9232,CL SKUL BASE FX-COMA NOS,4
9233,CL SKULL FX NEC W/O LOC,4
9234,ARTHROPATHY NOS-FOREARM,4
9235,INDICAT CARE LAB/DEL-ANT,4
9236,"Strain of musc/fasc/tend at thigh level,right thi",4
9237,POISON BY METHYLPHENDATE,4
9238,"Strain msl/fasc/tnd post grp at thi lev,right thi",4
9239,Overactive bladder,4
9240,PERINATAL CHR RESP DIS,4
9241,PERSIST HYPERPLAS THYMUS,4
9242,"Arthritis due to other bacteria,left ankle and fo",4
9243,PERICHONDRITIS PINNA NOS,4
9244,POISON-ANTIDEPRESNT NOS,4
9245,"Idiopathic gout,right wrist",4
9246,SECOND MALIG NEO BREAST,4
9247,VARICOSE VULVA-DELIVERED,4
9248,"Idiopathic interstitial pneumonia,not otherwise s",4
9249,"Injury,unspecified",4
9250,Oth intraop cardiac functn disturb during cardiac ,4
9251,POISON-ENT PREPARATION,4
9252,INTRAUTER DEATH-ANTEPART,4
9253,"Dermatopolymyositis,unspecified with myopathy",4
9254,"Maternal care for intrauterine death,fetus 1",4
9255,Idiopathic progressive neuropathy,4
9256,"Strain of left Achilles tendon,initial encounter",4
9257,"CONG HIP SUBLUX,UNILAT",4
9258,CONTUSION OF WRIST,4
9259,IDIOPATHIC URTICARIA,4
9260,AWAIT ORG TRANS STATUS,4
9261,"Strain of msl/fasc/tnd post grp at thi lev,left t",4
9262,Diaper dermatitis,4
9263,Cyanotic attacks of newborn,4
9264,"Cutaneous abscess of trunk,unspecified",4
9265,"Strain of musc/fasc/tend at thigh level,left thig",4
9266,"Hypoxic ischemic encephalopathy [HIE],unspecified",4
9267,PRP SEPTC THRMB-POSTPART,4
9268,"Oth fracture of right pubis,subs for fx w routn h",4
9269,OPEN WND FACE NEC-COMPL,4
9270,OPEN WOUND BUTTOCK-COMPL,4
9271,"FX PHALANX,HAND NOS-OPN",4
9272,TOXIC EFFECT ACIDS,4
9273,Opioid dependence w opioid-induced psychotic disor,4
9274,FX RADIUS W ULNA NOS-OPN,4
9275,EPILEPSY POSTPART COND,4
9276,RLQ ABDOMINAL TENDERNESS,4
9277,AC NONSUP OTITIS MED NOS,4
9278,"FX SCAPUL,CORAC PROC-CL",4
9279,"Unspecified acute conjunctivitis,bilateral",4
9280,EXCESS BLOOD-ALCOHOL LEV,4
9281,TOXIC EFF LIQ PETROL GAS,4
9282,"Retrobulbar neuritis,right eye",4
9283,"Opioid use,unspecified with intoxication delirium",4
9284,Rett's syndrome,4
9285,OLD MYOCARDIAL INFARCT,4
9286,AC PYELONEPHR W MED NECR,4
9287,OLD HYPERTEN NEC-POSTPAR,4
9288,OLD HYPERTEN NEC-ANTEPAR,4
9289,"Factitious disorder,unspecified",4
9290,AC MARGINAL ULCER NOS,4
9291,"FX MULT PHALAN,HAND-OPN",4
9292,Opioid abuse with intoxication delirium,4
9293,BOTH EYES BLIND-WHO DEF,4
9294,"Poisn by phenothiaz antipsychot/neurolept,self-ha",4
9295,"Poisn by oth nonsteroid anti-inflam drugs,self-ha",4
9296,"Poisn by oth antieplptc and sed-hypntc drugs,unde",4
9297,OPEN WOUND OF TOE,4
9298,FX FEMORAL CONDYLE-OPEN,4
9299,"Blister (nonthermal),left foot,initial encounter",4
9300,FX FOOT BONE NEC-CLOSED,4
9301,FX HAMATE BONE-CLOSED,4
9302,Wear of artic bearing surface of internal prosth j,4
9303,"AC KIDNY FAIL,CORT NECR",4
9304,"Blister (nonthermal),left lower leg,initial enco",4
9305,ESOPHAGEAL ANOMALY NEC,4
9306,FX HUMERUS SHAFT-OPEN,4
9307,AC LARYNGOTRACH NO OBSTR,4
9308,Pneumothorax originating in the perinatal period,4
9309,Pneumonitis due to inhalation of other solids and ,4
9310,FX METACARP BASE NEC-OPN,4
9311,FX METACARPAL NECK-OPEN,4
9312,OPEN WOUND LIP-COMPLICAT,4
9313,"Failed or difficult intubation,initial encounter",4
9314,WBC DISEASE NEC,4
9315,AC RHEUMAT HRT DIS NEC,4
9316,"Follicular lymphoma grade II,lymph nodes of multi",4
9317,"Follicular lymphoma,unsp,extranodal and solid or",4
9318,"Follicular lymphoma,unsp,lymph nodes of multiple",4
9319,"Burkitt lymphoma,intra-abdominal lymph nodes",4
9320,"Burkitt lymphoma,lymph nodes of multiple sites",4
9321,Nontraumatic compartment syndrome of right lower e,4
9322,"Food in resp tract,part unsp causing oth injury,",4
9323,Postproc seroma of a nervous sys org fol a nervous,4
9324,"Burkitt lymphoma,unspecified site",4
9325,Nontraumatic compartment syndrome of left lower ex,4
9326,"Peripheral T-cell lymphoma,not classified,intra-",4
9327,EARLY COMPLIC TRAUMA NEC,4
9328,Nonspecific reaction to skin test w/o active tuber,4
9329,"Burn of second degree of left foot,initial encoun",4
