,index,insurance2
1391,BCBS TRADITIONAL,2
1392,UAE EMBASSY CULTURAL DIV,2
1393,KAISER NOT N E OHIO,2
1394,KIDNEY ACQUISITION,2
1395,UNIVERSITY NETWORK COMP,2
1396,LOOMIS COMPANY,2
1397,UNITED HEALTHCARE- COMPASS HIX,2
1398,EVERCARE CHOICE,2
1399,MAILHANDLERS BENEFIT,2
1400,HEALTHSMART PREFERRED GENERIC,2
1401,BROWNS DAILY CONTRACT,2
1402,UNIFIED LIFE INSURANCE,2
1403,HEALTHPLUS,2
1404,UNICARE,2
1405,UMR CINCINNATI,2
1406,MEDICAID MISC,2
1407,MEDICAL MUTUAL - NAS,2
1408,BOEING CARDIAC WEBTPA,2
1409,US DEPARTMENT OF LAB,2
1410,USACARE PFFS - NC MDCR ADVANTAGE,2
1411,MEDICAL MUTUAL PEIA,2
1412,JFP BENEFIT MANAGEMENT,2
1413,INTERNATIONAL SANUS HEALTH,2
1414,INTERNATIONAL BCBS GENERIC,2
1415,ZZZUHC BEST DOCTORS,2
1416,INTL BRITCAY,2
1417,ZZZNEIGHBORHOOD POS,2
1418,INTL CANADIAN MEDICAL NETWORK,2
1419,ZZZAETNA GOLDEN MEDICARE PPO,2
1420,ADMINISTRATIVE SRV CNSLT,2
1421,INTL GNP SIGUROS,2
1422,HOUSE OF CORRECTIONS,2
1423,INTL PT WITHOUT INS,2
1424,EMPLOYEE BENEFIT CONSULTA,2
1425,WALMART - HEALTH DESIGN PLUS,2
1426,VNA OF CLEVELAND HOSPICE,2
1427,VITAS HOSPICE CARE,2
1428,BLUE PREFERRED PRIMARY PLUSPOS,2
1429,"LOWES COMPANIES,INC. - HEALTH DESIGN PLUS",2
1430,MHNET BH,2
1431,UHC CHOICE,2
1432,BEHAVIORAL HLTH MISC,2
1433,MIDWEST HEALTH COLLABORATIVE,2
1434,MEDIPASS,2
1435,MIDWEST NATL LIFE INS,2
1436,UHC HARKEN HEALTH,2
1437,MEDINFORM,2
1438,BENEFIT ASSISTANCE CORPORATION,2
1439,METROHEALTH ACCORDIA,2
1440,BLACK LUNG,2
1441,MH WICKLIFFE COUNTRY PLACE,2
1442,WEST VIRGINIA WORKERS COMP,1
1443,WHIRLPOOL HEALTHSCOPE,1
1444,AMERIGROUP COMMUNITY CARE,1
1445,EXCHANGE MISC PLTINM,1
1446,WESTFIELD COMPANIES,1
1447,WELLS FARGO TPA,1
1448,WEST VIRGINIA PUBLIC EMPL,1
1449,AETNA POS PSYCH,1
1450,WELLINGTON PLACE NURSING HOME,1
1451,UHC BENESIGHT,1
1452,UHC BEST DOCTORS,1
1453,TRADITIONAL BLUE MDCR PPO,1
1454,ADVANTRA MEDICARE,1
1455,ZZZAETNA GOLDEN CHOICE PPO,1
1456,UHC NAVIGATE PLUS FL,1
1457,ZZZAETNA MEDICARE PFFS,1
1458,SELFPAY MEDICR A ONL,1
1459,ANTHEM BCBS FEP HMO,1
1460,EXCHANGE PLATINUM GENERIC,1
1461,COMPREHENSIVE MGR CARE SY,1
1462,**THEM COMM PREFER,1
1463,SELF FUNDED PLANS INC,1
1464,SELF PAY VISION,1
1465,UHC - AARP,1
1466,CONNECTICUT GENERAL,1
1467,ZZZCIGNA PPO,1
1468,ZZZSAMBA,1
1469,CRL SUPER MED PLUS,1
1470,TRICARE STANDARD PSYCH,1
1471,GATES MCDONALD-HLTH PLUS,1
1472,ELKHART MEDICAL ORGANIZAT,1
1473,GATES MCDONALD HLTH PLUS INC.,1
1474,AETNA PREMIER CARE FL,1
1475,ELYRIA MEMORIAL HOSPITAL,1
1476,VILLAGE AT MARYMOUNT,1
1477,SPARROW PHYSICIAN HEALTH NETWORK,1
1478,UNITED AMERICAN,1
1479,AKRON CHILDRENS PURCHASED SERVICES,1
1480,AFTRA HLTH FUND,1
1481,UHC CHOICE PSYCH,1
1482,UHC COMPASS BALANCED HIX FL,1
1483,EXCHANGE BRONZE GENERIC,1
1484,STRATEGIC HTTH DEV CORP,1
1485,THP HOMETOWN MEDICARE,1
1486,THP HMO WOOSTER,1
1487,COVENTRY CRLNK HX-G,1
1488,THP EPO,1
1489,"FIRST BENEFITS AGENCY,IN",1
1490,FIRST HLTH NETWORK (AFFORDABLE) PPO,1
1491,FLORIDA DEPT OF CORRECTIONS,1
1492,UHC HLTH TEN PPO,1
1493,UHC HMO (CC1),1
1494,SUMMACARE PREFERRED PPO PSYCH,1
1495,ALLIANCE HEALTH NETWORK,1
1496,COVENTRY HEALTH CARE OF FL PPO,1
1497,SECURE HORIZONS HMO,1
1498,AETNA MEDICARE SUPPLEMENT,1
1499,VANTAGE HEALTH PLAN INC,1
1500,AMERICAN NATIONAL,1
1501,THP SECURECARE MDCR HMO,1
1502,EMPLOYEE HEALTH,1
1503,THP PPO WOOSTER,1
1504,UPMC HEALTH PLAN,1
1505,ENTERPRISE GROUP PLAN,1
1506,AETNA SIGNATURE ADMIN,1
1507,SPARROW PHYSICIANS HLTH NETWORK - SMCP,1
1508,STANDARD LIFE INSURANCE,1
1509,UPMC FOR LIFE OPTIONS HMO SNP,1
1510,FORMOST,1
1511,UNITED MINE WORKERS,1
1512,AETNA ELECT CHOICE - EPO,1
1513,STRATEGIC HLTH DEV CORP,1
1514,SELECT MEDICAL CORPORATION,1
1515,INTERNATIONAL MEDICAL GROUP,1
1516,SC SELECT TIERED POS,1
1517,LUTHERAN HOSPITAL,1
1518,MARKETPLACE EXCHANGE GENERIC,1
1519,HEALTHSPANONE BRONZE HIX,1
1520,MAIL HANDLERS BENEFIT PLA,1
1521,HEALTHSPANONE GOLD,1
1522,MAGELLAN AETNA BHVRL,1
1523,M.R.A. (EMERG ROOM ACCIDENTS),1
1524,LIBERTY MUTUAL - 2ND SURG,1
1525,HEALTHSPANONE SILVER HIX,1
1526,LAKE COUNTY ADAMHS BOARD,1
1527,KOHLS HEALTH DESIGN PLUS,1
1528,KLAIS HLTH NETWORK PPO,1
1529,KLAIS & CO EMPLOYEE BENEF,1
1530,HEALTHSPANONE GOLD HIX,1
1531,CARA 15-1345 RSCH ST,1
1532,MCR PT B I/P,1
1533,BROWARD COUNTY EMP,1
1534,MEDICA HEALTHCARE PLAN WELLMED,1
1535,HEALTHLINK OPEN ACCESS,1
1536,BLUE TRADITIONAL PSYCH,1
1537,HEALTHAMERICA CCPPO PPO,1
1538,MEDICAL MUTUAL TRAD PSYCH,1
1539,MEDICARE A AND B PSYCH,1
1540,MEDICARE A FL,1
1541,MEDICARE DIALYSIS OVERLAP,1
1542,MEDICARE HMO OTHER,1
1543,MEDICARE INPT OVERLAP,1
1544,MEDINFORM LIABILITY,1
1545,HEALTHAMERICA CCPPO POS,1
1546,MEGELLAN BEHAVIORAL HLTH,1
1547,MERCER FIRST CHOICE,1
1548,METROHLTH SYSTEM,1
1549,KAISER TRANSPLANT CO,1
1550,KAISER - SECONDARY TO OT,1
1551,SC SELECT TIERED EPO,1
1552,CHICOS ORTHO WEBTPA,1
1553,INTL EMBASSY QATAR DEFENSE,1
1554,INTL EMBASSY EGYPT DEFENSE,1
1555,HYGEIA CORPORATION,1
1556,INTL EMBASSY BAHRAIN DEFENSE,1
1557,CIGNA HEALTHCARE INDMNTY PSYCH,1
1558,INTL EGYPT EMBASSY-MEDICAL,1
1559,INTL COLONIAL MEDICAL,1
1560,CAREPLUS HEALTH MEDICARE HMO,1
1561,INTL BUPA,1
1562,CHRISTIAN BROTHERS SERVIC,1
1563,CHUBB INSURANCE,1
1564,CIGNA,1
1565,INTL BEST DOCTORS,1
1566,CIGNA DENTAL,1
1567,CENTRAL RESERVE MMO,1
1568,INTL EMBASSY UAE HAAD,1
1569,CCHS EMPLOYEE,1
1570,CCF MEDICAL SVGS PLN,1
1571,HUMANA CHOICECARE PO,1
1572,INTL HUMANA,1
1573,CIGNA HEALTHCARE PPO PSYCH,1
1574,CARESOURCE MYCARE CAID ONLY,1
1575,HUBBARD BERT BAI,1
1576,CARESOURCE MEDICAID DENTAL,1
1577,INTL MROGAN WHITE,1
1578,INTL SAUDI ARABIA EMBASSY MED,1
1579,INTL SAUDI EMBASSY,1
1580,INTL TURKISH EMBASSY OFFICE,1
1581,HOSP CARE ASSUR PROG - OTHER,1
1582,CARESOURCE >250 FPL HIX AKRON,1
1583,HORIZON HEALTH ADMIN,1
1584,MHS AKRON USW RETIREE,1
1585,MHS CCF STAFF TKR,1
1586,CIGNA PAYOR SOLUTIONS OAP,1
1587,OPI STUDY,1
1588,GLOBAL MEDICAL,1
1589,COMM HLTH ALLIANCE TRANSPLANT,1
1590,ANTHEM SR ADVANTAGE,1
1591,PAI,1
1592,PA MEDICARE PART B ONLY,1
1593,APEX,1
1594,APWU NALC SUPPLMNTAL,1
1595,"PREMIER MGD CARE SERVICES,INC.",1
1596,ASSURANT EMPLOYEES BENEFITS,1
1597,OHIO MEDICAID DENTAL,1
1598,OHIO LABORERS,1
1599,GREAT WEST HEALTHCARE PSYCH,1
1600,OHIO COMP CHOICE INC.,1
1601,OH STATE MANAGED HLTHCARE SYS (OSU),1
1602,PITTMAN ASSOCIATES,1
1603,ANTHEM MEDICARE SUPPLEMENT,1
1604,MIDWEST HEALTH PARAMOUNT,1
1605,RICH INDEPENDENT HEALTH,1
1606,SC SELECT EPO,1
1607,GENERIC HOSPITAL ONLY,1
1608,ANTHEM BLUE CROSS-DUAL COVERAGE,1
1609,SC PRIME TIERED EPO,1
1610,GENERIC MEDICAL ONLY,1
1611,ROCKY RIVER PRISONER,1
1612,RESEARCH FEDERAL FUNDING,1
1613,PRIVATE HEALTHCARE SYSTEM,1
1614,RE HARRINGTON,1
1615,QUALCHOICE SELF FUNDED,1
1616,QATAR EMBASSY DEFENSE,1
1617,ANTHEM MDCR PREF PSYCH,1
1618,PROFESSIONAL CLAIMS MGT,1
1619,PROFESSIONAL BENEFITS,1
1620,AULTRA - OHIO PPO CONNECTION,1
1621,AUTO MEDICAL GENERIC FL,1
1622,NIPPON LIFE INSURANCE,1
1623,DTE GENERIC PF,1
1624,MYCARE MOLINA CD 2ND,1
1625,BCBS GOBLUE,1
1626,MYCARE CSRC CAID 2ND,1
1627,HAA PREFERRED PRTNRS,1
1628,MUTUAL OF OMAHA PPO,1
1629,HARVARD COMMUNITY HLTH PL HMO,1
1630,MONUMENTAL GENERAL,1
1631,NIPPON LIFE BENEFITS,1
1632,HCR MANORCARE HDP BAT,1
1633,MMO SPERMED CLASSIC,1
1634,HEALTH ADVANTAGE,1
1635,HEALTH SERVICE PREFERRED,1
1636,MISC CORPORATION,1
1637,"HEALTH STAR,INC. - PPO",1
1638,MYCARE MOLINA MCR OP,1
1639,MYCARE MOLINA MEDICAID ONLY,1
1640,CIGNA SECONDARY,1
1641,MYCARE OHIO MOLINA MEDICAID HMO,1
1642,BCBS FL NASCO,1
1643,NATIONAL BONE MARROW REGI,1
1644,NATIONAL FOUNDATION,1
1645,NATIONWIDE HLTH PLAN,1
1646,BCBS CONVERSION HMO,1
1647,"NATIONWIDE HLTHPLANS,INC.",1
1648,NATIONWIDE INSURANCE CO.,1
1649,NEW ERA LIFE,1
1650,NFLPA,1
1651,BANKERS LIFE & CASUALTY,1
1652,NH CEDARWOOD PLAZA,1
1653,NH HEARTLAND TWINSBURG,1
1654,ONTARIO HEALTH PLAN,1
1655,KEYSTONE HEALTH PLAN,0
